Schuljahr,Amtlicher Gemeindeschlüssel,Verwaltungsbezirk,Schulformschlüssel,Schulform,Schulnummer,Kurzbezeichnung der Schule,Amtliche Bezeichnung 1,Amtliche Bezeichnung 2,Amtliche Bezeichnung 3,Rechtsstatus,Straße und Hausnummer,Postleitzahl,Ort,Homepage,Amtlicher Gemeinde-schlüssel,"Verwaltungsbezirk
(Haupt- und Nebensitz der Schule)",Art der Adresse,Anzahl,Sozialindex
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
2024/25,5111000.0,Krfr. Stadt Düsseldorf,02,Grundschule,100020,"Düsseldorf, KG Kartause-Hain-Schule",Städt. Kath. Grundschule,Kartause-Hain-Schule,- Primarstufe -,Öffentlich,Unterrather Str. 76,40468.0,Düsseldorf,http://www.kartause-hain-schule.de,5111000.0,Krfr. Stadt Düsseldorf,Hauptsitz,220,5
2024/25,5111000.0,Krfr. Stadt Düsseldorf,02,Grundschule,100061,"Düsseldorf, GG Steinkaul",Städtische Gemeinschaftsgrundschule,Steinkaul 27,-Primarstufe-,Öffentlich,Steinkaul 27,40589.0,Düsseldorf,https://www.ggs-steinkaul.de/,5111000.0,Krfr. Stadt Düsseldorf,Hauptsitz,305,1
2024/25,5111000.0,Krfr. Stadt Düsseldorf,02,Grundschule,100067,"Düsseldorf, KG Niederkassel",Städtische Katholische Grundschule,Niederkassel,- Primarstufe -,Öffentlich,Niederkasseler Str. 36,40547.0,Düsseldorf,http://www.grundschuleniederkassel.de,5111000.0,Krfr. Stadt Düsseldorf,Hauptsitz,335,3
2024/25,5111000.0,Krfr. Stadt Düsseldorf,02,Grundschule,100079,"Düsseldorf, KG Paulus Schule",Paulus Schule,Städt. Kath. Grundschule,- Primarstufe -,Öffentlich,Paulusplatz 1,40237.0,Düsseldorf,https://paulusschule-duesseldorf.de/,5111000.0,Krfr. Stadt Düsseldorf,Hauptsitz,340,3
2024/25,5111000.0,Krfr. Stadt Düsseldorf,02,Grundschule,100092,"Düsseldorf, KG Rather Kreuzweg",Städt. Kath. Grundschule,- Primarstufe -,,Öffentlich,Rather Kreuzweg 21,40472.0,Düsseldorf,https://www.kgs-rather-kreuzweg.de/,5111000.0,Krfr. Stadt Düsseldorf,Hauptsitz,225,9
2024/25,5111000.0,Krfr. Stadt Düsseldorf,02,Grundschule,100109,"Düsseldorf, KG Marienschule",Marienschule,Städt. Kath. Grundschule,- Primarstufe -,Öffentlich,Rheindorfer Weg 20,40591.0,Düsseldorf,http://www.kgs-marienschule-duesseldorf.de,5111000.0,Krfr. Stadt Düsseldorf,Hauptsitz,340,2
2024/25,5111000.0,Krfr. Stadt Düsseldorf,02,Grundschule,100122,"Düsseldorf, KG Hermann Gmeiner Schule",Hermann Gmeiner Schule,Städt. Kath. Grundschule,- Primarstufe -,Öffentlich,Schillstr. 7,40599.0,Düsseldorf,http://www.kgs-hermann-gmeiner.de,5111000.0,Krfr. Stadt Düsseldorf,Hauptsitz,155,7
2024/25,5111000.0,Krfr. Stadt Düsseldorf,02,Grundschule,100158,"Düsseldorf, KG Josef-Kleesattel-Str.",Städtische Katholische Grundschule,Primarstufe mit Montessorizweig,,Öffentlich,Josef-Kleesattel-Str. 13,40595.0,Düsseldorf,http://schulen.duesseldorf.de/gs-josefkleesattelstr,5111000.0,Krfr. Stadt Düsseldorf,Hauptsitz,160,6
