Schuljahr,Schulform,Amtlicher Gemeindeschlüssel,Verwaltungsbezirk,Schulnummer,Amtliche Bezeichnung 1,Amtliche Bezeichnung 2,Amtliche Bezeichnung 3,Straße und Hausnummer,Postleitzahl,Ort,Rechtsstatus,Telefonnummer Vorwahl,Telefonnummer Durchwahl,Faxnummer Vorwahl,Faxnummer Durchwahl,Offizielle E-Mail-Adresse,Anzahl,Sozialindex,latitude,longitude,found_address
2024/25,Grundschule,05111000,Krfr. Stadt Düsseldorf,100020,Städt. Kath. Grundschule,Kartause-Hain-Schule,- Primarstufe -,Unterrather Str. 76,40468,Düsseldorf,Öffentlich,0211,4791163,0211,4299019,100020@schule.nrw.de,220,5,51.2751293,6.7829699,"76, Unterrather Straße, Unterrath, Stadtbezirk 6, Düsseldorf, Nordrhein-Westfalen, 40468, Deutschland"
2024/25,Grundschule,05111000,Krfr. Stadt Düsseldorf,100061,Städtische Gemeinschaftsgrundschule,Steinkaul 27,-Primarstufe-,Steinkaul 27,40589,Düsseldorf,Öffentlich,0211,8925660,0211,8925665,100061@schule.nrw.de,305,1,51.1697882,6.8076183,"GGS Steinkaul, 27, Steinkaul, Himmelgeist, Stadtbezirk 9, Düsseldorf, Nordrhein-Westfalen, 40589, Deutschland"
2024/25,Grundschule,05111000,Krfr. Stadt Düsseldorf,100067,Städtische Katholische Grundschule,Niederkassel,- Primarstufe -,Niederkasseler Str. 36,40547,Düsseldorf,Öffentlich,0211,8924500,0211,8924624,100067@schule.nrw.de,335,3,51.2376268,6.7547399,"Katholische Grundschule Niederkassel, 36, Niederkasseler Straße, Niederkassel, Stadtbezirk 4, Düsseldorf, Nordrhein-Westfalen, 40547, Deutschland"
2024/25,Grundschule,05111000,Krfr. Stadt Düsseldorf,100079,Paulus Schule,Städt. Kath. Grundschule,- Primarstufe -,Paulusplatz 1,40237,Düsseldorf,Öffentlich,0211,667608,0211,6799796,100079@schule.nrw.de,340,3,51.2359173,6.8045487,"1, Paulusplatz, Düsseltal, Stadtbezirk 2, Düsseldorf, Nordrhein-Westfalen, 40237, Deutschland"
2024/25,Grundschule,05111000,Krfr. Stadt Düsseldorf,100092,Städt. Kath. Grundschule,- Primarstufe -,,Rather Kreuzweg 21,40472,Düsseldorf,Öffentlich,0211,8992882,0211,8929436,100092@schule.nrw.de,225,9,51.2627001,6.808316,"21, Rather Kreuzweg, Rath, Stadtbezirk 6, Düsseldorf, Nordrhein-Westfalen, 40472, Deutschland"
2024/25,Grundschule,05111000,Krfr. Stadt Düsseldorf,100109,Marienschule,Städt. Kath. Grundschule,- Primarstufe -,Rheindorfer Weg 20,40591,Düsseldorf,Öffentlich,0211,8924360,0211,8924362,100109@schule.nrw.de,340,2,51.189907,6.8148053,"20, Rheindorfer Weg, Wersten-West, Wersten, Stadtbezirk 9, Düsseldorf, Nordrhein-Westfalen, 40591, Deutschland"
2024/25,Grundschule,05111000,Krfr. Stadt Düsseldorf,100122,Hermann Gmeiner Schule,Städt. Kath. Grundschule,- Primarstufe -,Schillstr. 7,40599,Düsseldorf,Öffentlich,0211,8926160,0211,8926155,100122@schule.nrw.de,155,7,51.1780045,6.8756514,"KGS Hermann-Gmeiner-Schule, 7, Schillstraße, Hassels, Stadtbezirk 9, Düsseldorf, Nordrhein-Westfalen, 40599, Deutschland"
2024/25,Grundschule,05111000,Krfr. Stadt Düsseldorf,100158,Städtische Katholische Grundschule,Primarstufe mit Montessorizweig,,Josef-Kleesattel-Str. 13,40595,Düsseldorf,Öffentlich,0211,7393600,0211,7393601,100158@schule.nrw.de,160,6,51.1449631,6.8890246,"Städtische Katholische Grundschule Josef-Kleesattel-Straße, 13, Josef-Kleesattel-Straße, Garath, Stadtbezirk 10, Düsseldorf, Nordrhein-Westfalen, 40595, Deutschland"
2024/25,Grundschule,05111000,Krfr. Stadt Düsseldorf,100160,Grundschule Kaiserswerth,Städt. Gem. Grundschule Fliednerstraße,- Primarstufe -,Fliednerstr. 32,40489,Düsseldorf,Öffentlich,0211,8923641,0211,8923645,100160@schule.nrw.de,315,3,51.3021112,6.7382066,"Grundschule Kaiserswerth, 32, Fliednerstraße, Kaiserswerth, Stadtbezirk 5, Düsseldorf, Nordrhein-Westfalen, 40489, Deutschland"
2024/25,Grundschule,05111000,Krfr. Stadt Düsseldorf,100171,Städt. Kath. Grundschule,- Primarstufe -,,Unter den Eichen 26,40625,Düsseldorf,Öffentlich,0211,8928292,0211,8929562,100171@schule.nrw.de,390,3,51.2326381,6.857054,"Städtische Katholische Grundschule - Unter den Eichen, 26, Unter den Eichen, Gerresheim, Stadtbezirk 7, Düsseldorf, Nordrhein-Westfalen, 40625, Deutschland"
