Bezirksregierung,Kreis/Stadt,Schulform,Schulnummer,Schulname,Sozialindex,latitude,longitude,found_address
Arnsberg,Ennepe-Ruhr-Kreis,Gesamtschule,100153,"Witten, GE Otto-Schott-Gesamtschule",5,51.4375279,7.3728035,"Holzkamp-Gesamtschule, Holzkampstraße, Annen, Witten, Ennepe-Ruhr-Kreis, Nordrhein-Westfalen, 58453, Deutschland"
Arnsberg,Ennepe-Ruhr-Kreis,Gesamtschule,188141,"Witten, GE Holzkamp",4,51.4380217,7.3735305,"Holzkamp-Gesamtschule, 2, Willy-Brandt-Straße, Annen, Witten, Ennepe-Ruhr-Kreis, Nordrhein-Westfalen, 58453, Deutschland"
Arnsberg,Ennepe-Ruhr-Kreis,Gesamtschule,188153,"Witten, GE Hardenstein",3,51.415329,7.2788103,"Hardenstein-Gesamtschule, 4, An der Wabeck, Westherbede, Herbede, Witten, Ennepe-Ruhr-Kreis, Nordrhein-Westfalen, 58456, Deutschland"
Arnsberg,Ennepe-Ruhr-Kreis,Gesamtschule,189558,"Sprockhövel, GE Wilhelm-Kraft",4,51.3336537,7.2850932,"Wilhelm-Kraft-Gesamtschule, Oststraße, Haßlinghausen, Sprockhövel, Ennepe-Ruhr-Kreis, Nordrhein-Westfalen, 45549, Deutschland"
Arnsberg,Ennepe-Ruhr-Kreis,Gesamtschule,190007,"Hattingen, GE Marxstr.",3,51.4090992,7.2180531,"Gesamtschule Hattingen, Marxstraße, Hüttenau, Blankenstein, Hattingen, Ennepe-Ruhr-Kreis, Nordrhein-Westfalen, 45527, Deutschland"
Arnsberg,Ennepe-Ruhr-Kreis,Gymnasium,169717,"Witten, Gym Schiller",2,51.439954,7.3343683,"Schiller-Gymnasium, Schultenhofstraße, Wiesenviertel, Witten-Mitte, Witten, Ennepe-Ruhr-Kreis, Nordrhein-Westfalen, 58452, Deutschland"
Arnsberg,Ennepe-Ruhr-Kreis,Gymnasium,169729,"Witten, Gym Ruhr",2,51.4419295,7.3316855,"Ruhr-Gymnasium, Synagogenstraße, Breddeviertel, Witten-Mitte, Witten, Ennepe-Ruhr-Kreis, Nordrhein-Westfalen, 58452, Deutschland"
Arnsberg,Ennepe-Ruhr-Kreis,Gymnasium,169730,"Witten, Gym Albert-Martmöller",2,51.4392993,7.3403761,"Albert-Martmöller-Gymnasium, Markmannstraße, Johannisviertel, Witten-Mitte, Witten, Ennepe-Ruhr-Kreis, Nordrhein-Westfalen, 58452, Deutschland"
Arnsberg,Ennepe-Ruhr-Kreis,Gymnasium,169950,"Ennepetal, Gym Reichenbach",3,51.3012332,7.3580968,"Reichenbach-Gymnasium, Peddinghausstraße, Esbecke, Homberge, Ennepetal, Ennepe-Ruhr-Kreis, Nordrhein-Westfalen, 58256, Deutschland"
Arnsberg,Ennepe-Ruhr-Kreis,Gymnasium,169961,"Gevelsberg, Gym Gevelsberg",2,51.324017,7.316541,"Hasencleverschule - Städtische Förderschule Gevelsberg, 12, Am Hofe, Frielinghausen, Gevelsberg, Ennepe-Ruhr-Kreis, Nordrhein-Westfalen, 58285, Deutschland"
