Schuljahr,Amtlicher Gemeindeschlüssel,Verwaltungsbezirk,Schulformschlüssel,Schulform,Schulnummer,Kurzbezeichnung der Schule,Amtliche Bezeichnung 1,Amtliche Bezeichnung 2,Amtliche Bezeichnung 3,Rechtsstatus,Straße und Hausnummer,Postleitzahl,Ort,Homepage,Amtlicher Gemeinde-schlüssel,"Verwaltungsbezirk
(Haupt- und Nebensitz der Schule)",Art der Adresse,Anzahl,Sozialindex,latitude,longitude,found_address
2024/25,5111000,Krfr. Stadt Düsseldorf,2,Grundschule,100020,"Düsseldorf, KG Kartause-Hain-Schule",Städt. Kath. Grundschule,Kartause-Hain-Schule,- Primarstufe -,Öffentlich,Unterrather Str. 76,40468,Düsseldorf,http://www.kartause-hain-schule.de,5111000,Krfr. Stadt Düsseldorf,Hauptsitz,220,5,51.2751293,6.7829699,"76, Unterrather Straße, Unterrath, Stadtbezirk 6, Düsseldorf, Nordrhein-Westfalen, 40468, Deutschland"
2024/25,5111000,Krfr. Stadt Düsseldorf,2,Grundschule,100061,"Düsseldorf, GG Steinkaul",Städtische Gemeinschaftsgrundschule,Steinkaul 27,-Primarstufe-,Öffentlich,Steinkaul 27,40589,Düsseldorf,https://www.ggs-steinkaul.de/,5111000,Krfr. Stadt Düsseldorf,Hauptsitz,305,1,51.1697882,6.8076183,"GGS Steinkaul, 27, Steinkaul, Himmelgeist, Stadtbezirk 9, Düsseldorf, Nordrhein-Westfalen, 40589, Deutschland"
2024/25,5111000,Krfr. Stadt Düsseldorf,2,Grundschule,100067,"Düsseldorf, KG Niederkassel",Städtische Katholische Grundschule,Niederkassel,- Primarstufe -,Öffentlich,Niederkasseler Str. 36,40547,Düsseldorf,http://www.grundschuleniederkassel.de,5111000,Krfr. Stadt Düsseldorf,Hauptsitz,335,3,51.2376268,6.7547399,"Katholische Grundschule Niederkassel, 36, Niederkasseler Straße, Niederkassel, Stadtbezirk 4, Düsseldorf, Nordrhein-Westfalen, 40547, Deutschland"
2024/25,5111000,Krfr. Stadt Düsseldorf,2,Grundschule,100079,"Düsseldorf, KG Paulus Schule",Paulus Schule,Städt. Kath. Grundschule,- Primarstufe -,Öffentlich,Paulusplatz 1,40237,Düsseldorf,https://paulusschule-duesseldorf.de/,5111000,Krfr. Stadt Düsseldorf,Hauptsitz,340,3,51.2359173,6.8045487,"1, Paulusplatz, Düsseltal, Stadtbezirk 2, Düsseldorf, Nordrhein-Westfalen, 40237, Deutschland"
2024/25,5111000,Krfr. Stadt Düsseldorf,2,Grundschule,100092,"Düsseldorf, KG Rather Kreuzweg",Städt. Kath. Grundschule,- Primarstufe -,,Öffentlich,Rather Kreuzweg 21,40472,Düsseldorf,https://www.kgs-rather-kreuzweg.de/,5111000,Krfr. Stadt Düsseldorf,Hauptsitz,225,9,51.2627001,6.808316,"21, Rather Kreuzweg, Rath, Stadtbezirk 6, Düsseldorf, Nordrhein-Westfalen, 40472, Deutschland"
2024/25,5111000,Krfr. Stadt Düsseldorf,2,Grundschule,100109,"Düsseldorf, KG Marienschule",Marienschule,Städt. Kath. Grundschule,- Primarstufe -,Öffentlich,Rheindorfer Weg 20,40591,Düsseldorf,http://www.kgs-marienschule-duesseldorf.de,5111000,Krfr. Stadt Düsseldorf,Hauptsitz,340,2,51.1899399,6.8144315,"20, Rheindorfer Weg, Wersten-West, Wersten, Stadtbezirk 9, Düsseldorf, Nordrhein-Westfalen, 40591, Deutschland"
2024/25,5111000,Krfr. Stadt Düsseldorf,2,Grundschule,100122,"Düsseldorf, KG Hermann Gmeiner Schule",Hermann Gmeiner Schule,Städt. Kath. Grundschule,- Primarstufe -,Öffentlich,Schillstr. 7,40599,Düsseldorf,http://www.kgs-hermann-gmeiner.de,5111000,Krfr. Stadt Düsseldorf,Hauptsitz,155,7,51.1780045,6.8756514,"KGS Hermann-Gmeiner-Schule, 7, Schillstraße, Hassels, Stadtbezirk 9, Düsseldorf, Nordrhein-Westfalen, 40599, Deutschland"
2024/25,5111000,Krfr. Stadt Düsseldorf,2,Grundschule,100158,"Düsseldorf, KG Josef-Kleesattel-Str.",Städtische Katholische Grundschule,Primarstufe mit Montessorizweig,,Öffentlich,Josef-Kleesattel-Str. 13,40595,Düsseldorf,http://schulen.duesseldorf.de/gs-josefkleesattelstr,5111000,Krfr. Stadt Düsseldorf,Hauptsitz,160,6,51.1449631,6.8890246,"Städtische Katholische Grundschule Josef-Kleesattel-Straße, 13, Josef-Kleesattel-Straße, Garath, Stadtbezirk 10, Düsseldorf, Nordrhein-Westfalen, 40595, Deutschland"
2024/25,5111000,Krfr. Stadt Düsseldorf,2,Grundschule,100160,"Düsseldorf, GG Kaiserswerth",Grundschule Kaiserswerth,Städt. Gem. Grundschule Fliednerstraße,- Primarstufe -,Öffentlich,Fliednerstr. 32,40489,Düsseldorf,http://www.grundschule-kaiserswerth.de,5111000,Krfr. Stadt Düsseldorf,Hauptsitz,315,3,51.3021112,6.7382066,"Grundschule Kaiserswerth, 32, Fliednerstraße, Kaiserswerth, Stadtbezirk 5, Düsseldorf, Nordrhein-Westfalen, 40489, Deutschland"
2024/25,5111000,Krfr. Stadt Düsseldorf,2,Grundschule,100171,"Düsseldorf, KG Unter den Eichen",Städt. Kath. Grundschule,- Primarstufe -,,Öffentlich,Unter den Eichen 26,40625,Düsseldorf,http://www.kgs-unterdeneichen.de,5111000,Krfr. Stadt Düsseldorf,Hauptsitz,390,3,51.2326381,6.857054,"Städtische Katholische Grundschule - Unter den Eichen, 26, Unter den Eichen, Gerresheim, Stadtbezirk 7, Düsseldorf, Nordrhein-Westfalen, 40625, Deutschland"
